lakeid,metric,sampledate,year,daynum
ME,iceoff,2006-03-27,2006,86
ME,iceoff,2007-04-11,2007,101
ME,iceoff,2008-03-22,2008,82
ME,iceoff,2009-03-26,2009,85
ME,iceoff,2010-04-03,2010,93
ME,iceoff,2011-03-12,2011,71
ME,iceoff,2012-04-10,2012,101
ME,iceoff,2013-04-12,2013,102
ME,iceoff,2014-04-03,2014,93
ME,iceoff,2015-03-14,2015,73
ME,iceoff,2016-03-06,2016,66
ME,iceoff,2017-03-31,2017,90
ME,iceoff,2018-03-31,2018,90
MO,iceoff,1979-03-31,1979,90
MO,iceoff,1980-03-15,1980,75
MO,iceoff,1981-03-30,1981,89
MO,iceoff,1982-03-06,1982,65
